reaction,reaction_normalized,custom_group,custom_group_label,mapping_basis
Hydrocele operation,Hydrocele operation,procedure,Procedures and interventions,rule
Spherocytic anaemia,Spherocytic anaemia,haematology,Blood and lymphatic,rule
Artificial menopause,Artificial menopause,other,Other / manual review,fallback
Congenital megacolon,Congenital megacolon,gastrointestinal,Gastrointestinal,rule
Instillation site coldness,Instillation site coldness,other,Other / manual review,fallback
Egocentrism,Egocentrism,other,Other / manual review,fallback
Isocitrate dehydrogenase gene mutation,Isocitrate dehydrogenase gene mutation,laboratory,Laboratory and investigation,rule
Prostatic cyst,Prostatic cyst,other,Other / manual review,fallback
Administration site haematoma,Administration site haematoma,device,Device and procedure-related,rule
Pharyngeal haematoma,Pharyngeal haematoma,respiratory,Respiratory,rule
Retinal neoplasm,Retinal neoplasm,neoplasm,Neoplasms,rule
Fasciectomy,Fasciectomy,other,Other / manual review,fallback
Argon plasma coagulation,Argon plasma coagulation,laboratory,Laboratory and investigation,rule
Dermatitis artefacta,Dermatitis artefacta,dermatological,Skin and subcutaneous tissue,rule
Manual lymphatic drainage,Manual lymphatic drainage,other,Other / manual review,fallback
Puncture site erythema,Puncture site erythema,device,Device and procedure-related,rule
Haemoglobinopathy,Haemoglobinopathy,haematology,Blood and lymphatic,rule
Lysozyme increased,Lysozyme increased,laboratory,Laboratory and investigation,rule
Renal cancer stage III,Renal cancer stage III,neoplasm,Neoplasms,rule
Barrel chest,Barrel chest,other,Other / manual review,fallback
Intraocular haematoma,Intraocular haematoma,ocular,Eye and vision,rule
Hysterical psychosis,Hysterical psychosis,other,Other / manual review,fallback
Meconium peritonitis,Meconium peritonitis,other,Other / manual review,fallback
Brown-Sequard syndrome,Brown-Sequard syndrome,other,Other / manual review,fallback
Venous angioplasty,Venous angioplasty,cardiovascular,Cardiovascular,rule
Bullous impetigo,Bullous impetigo,other,Other / manual review,fallback
Catheter site dryness,Catheter site dryness,device,Device and procedure-related,rule
Peritoneal hernia,Peritoneal hernia,other,Other / manual review,fallback
Intra-uterine contraceptive device insertion,Intra-uterine contraceptive device insertion,device,Device and procedure-related,rule
Visuospatial deficit,Visuospatial deficit,other,Other / manual review,fallback
Pseudologia,Pseudologia,other,Other / manual review,fallback
Oesophageal stent stenosis,Oesophageal stent stenosis,device,Device and procedure-related,rule
Low carbohydrate diet,Low carbohydrate diet,other,Other / manual review,fallback
Optic nerve sheath haemorrhage,Optic nerve sheath haemorrhage,neurological,Nervous system and neurological,rule
Intrapartum haemorrhage,Intrapartum haemorrhage,haematology,Blood and lymphatic,rule
Prealbumin abnormal,Prealbumin abnormal,laboratory,Laboratory and investigation,rule
Tick paralysis,Tick paralysis,neurological,Nervous system and neurological,rule
Germ cell neoplasm,Germ cell neoplasm,neoplasm,Neoplasms,rule
Sigmoidectomy,Sigmoidectomy,other,Other / manual review,fallback
Medical cannabis therapy,Medical cannabis therapy,procedure,Procedures and interventions,rule
Device signal detection issue,Device signal detection issue,device,Device and procedure-related,rule
Lymphogranuloma venereum,Lymphogranuloma venereum,other,Other / manual review,fallback
Cast removal,Cast removal,procedure,Procedures and interventions,rule
Tyrosine kinase mutation,Tyrosine kinase mutation,other,Other / manual review,fallback
Fibrous cortical defect,Fibrous cortical defect,other,Other / manual review,fallback
Medical device site eczema,Medical device site eczema,device,Device and procedure-related,rule
Radiolucency around implant,Radiolucency around implant,other,Other / manual review,fallback
Pneumothorax traumatic,Pneumothorax traumatic,respiratory,Respiratory,rule
Vessel puncture site reaction,Vessel puncture site reaction,device,Device and procedure-related,rule
Psychopathic personality,Psychopathic personality,psychiatric,Psychiatric and behavioural,rule
Pyopneumothorax,Pyopneumothorax,respiratory,Respiratory,rule
Lentigo maligna stage I,Lentigo maligna stage I,other,Other / manual review,fallback
Therapeutic aspiration,Therapeutic aspiration,other,Other / manual review,fallback
Anginal equivalent,Anginal equivalent,other,Other / manual review,fallback
Laboratory test normal,Laboratory test normal,laboratory,Laboratory and investigation,rule
Amplified musculoskeletal pain syndrome,Amplified musculoskeletal pain syndrome,general,General symptoms,rule
Congenital absence of bile ducts,Congenital absence of bile ducts,gastrointestinal,Gastrointestinal,rule
Brunner^s gland hyperplasia,Brunner's gland hyperplasia,other,Other / manual review,fallback
Congenital HIV infection,Congenital HIV infection,infection,Infections,rule
Heterochromia iridis,Heterochromia iridis,other,Other / manual review,fallback
Antineutrophil cytoplasmic antibody decreased,Antineutrophil cytoplasmic antibody decreased,laboratory,Laboratory and investigation,rule
Multiple lentigines syndrome,Multiple lentigines syndrome,other,Other / manual review,fallback
Gastrointestinal decompression,Gastrointestinal decompression,laboratory,Laboratory and investigation,rule
Endovenous ablation,Endovenous ablation,cardiovascular,Cardiovascular,rule
Schizoaffective disorder depressive type,Schizoaffective disorder depressive type,other,Other / manual review,fallback
Escherichia vaginitis,Escherichia vaginitis,other,Other / manual review,fallback
Cutaneous T-cell lymphoma refractory,Cutaneous T-cell lymphoma refractory,neoplasm,Neoplasms,rule
Oesophagitis bacterial,Oesophagitis bacterial,infection,Infections,rule
Pancreatitis viral,Pancreatitis viral,infection,Infections,rule
Cerebrospinal fistula,Cerebrospinal fistula,musculoskeletal,Musculoskeletal,rule
Venous oxygen saturation decreased,Venous oxygen saturation decreased,laboratory,Laboratory and investigation,rule
Pancreatic leak,Pancreatic leak,gastrointestinal,Gastrointestinal,rule
Gastrointestinal examination abnormal,Gastrointestinal examination abnormal,laboratory,Laboratory and investigation,rule
Urine bilirubin increased,Urine bilirubin increased,laboratory,Laboratory and investigation,rule
Oesophagogastrectomy,Oesophagogastrectomy,gastrointestinal,Gastrointestinal,rule
Biopsy breast abnormal,Biopsy breast abnormal,laboratory,Laboratory and investigation,rule
Cough decreased,Cough decreased,laboratory,Laboratory and investigation,rule
Cytokine abnormal,Cytokine abnormal,laboratory,Laboratory and investigation,rule
Ocular fistula,Ocular fistula,ocular,Eye and vision,rule
Red blood cell spherocytes present,Red blood cell spherocytes present,laboratory,Laboratory and investigation,rule
Implant site necrosis,Implant site necrosis,device,Device and procedure-related,rule
Base excess negative,Base excess negative,laboratory,Laboratory and investigation,rule
Diaphragm muscle weakness,Diaphragm muscle weakness,musculoskeletal,Musculoskeletal,rule
Contact lens intolerance,Contact lens intolerance,other,Other / manual review,fallback
Blood follicle stimulating hormone decreased,Blood follicle stimulating hormone decreased,laboratory,Laboratory and investigation,rule
Troponin,Troponin,other,Other / manual review,fallback
Hypocholesterolaemia,Hypocholesterolaemia,endocrine,Endocrine and metabolic,rule
Staphyloma,Staphyloma,other,Other / manual review,fallback
Inguinal hernia strangulated,Inguinal hernia strangulated,other,Other / manual review,fallback
Vulval laceration,Vulval laceration,reproductive,Reproductive and breast,rule
Oesophageal prosthesis insertion,Oesophageal prosthesis insertion,device,Device and procedure-related,rule
Adjustment disorder with mixed anxiety and depressed mood,Adjustment disorder with mixed anxiety and depressed mood,psychiatric,Psychiatric and behavioural,rule
Implant site hyperaesthesia,Implant site hyperaesthesia,device,Device and procedure-related,rule
Pituitary cyst,Pituitary cyst,other,Other / manual review,fallback
Normal tension glaucoma,Normal tension glaucoma,ocular,Eye and vision,rule
Non-Hodgkin^s lymphoma unspecified histology aggressive stage II,Non-Hodgkin's lymphoma unspecified histology aggressive stage II,neoplasm,Neoplasms,rule
Parasympathetic nerve injury,Parasympathetic nerve injury,neurological,Nervous system and neurological,rule
Diabetic blindness,Diabetic blindness,other,Other / manual review,fallback
Digestive enzyme test,Digestive enzyme test,laboratory,Laboratory and investigation,rule
Urethral dilatation,Urethral dilatation,renal_urinary,Renal and urinary,rule
Arteriovenous fistula site complication,Arteriovenous fistula site complication,cardiovascular,Cardiovascular,rule
Necrotising herpetic retinopathy,Necrotising herpetic retinopathy,other,Other / manual review,fallback
Gastrinoma,Gastrinoma,other,Other / manual review,fallback
Chronic eosinophilic leukaemia,Chronic eosinophilic leukaemia,neoplasm,Neoplasms,rule
Brachiocephalic artery stenosis,Brachiocephalic artery stenosis,other,Other / manual review,fallback
Gastric cancer recurrent,Gastric cancer recurrent,neoplasm,Neoplasms,rule
Streptococcus test,Streptococcus test,laboratory,Laboratory and investigation,rule
Product origin unknown,Product origin unknown,product_quality,Product quality and supply,rule
Genital injury,Genital injury,injury,Injury and poisoning,rule
Enterocolitis fungal,Enterocolitis fungal,infection,Infections,rule
Nipple resection,Nipple resection,other,Other / manual review,fallback
Red blood cell analysis abnormal,Red blood cell analysis abnormal,laboratory,Laboratory and investigation,rule
Agonal rhythm,Agonal rhythm,other,Other / manual review,fallback
Lupus myocarditis,Lupus myocarditis,cardiovascular,Cardiovascular,rule
Graft overgrowth,Graft overgrowth,other,Other / manual review,fallback
Ocular deposits removal,Ocular deposits removal,ocular,Eye and vision,rule
Naevus flammeus,Naevus flammeus,other,Other / manual review,fallback
Anti-glomerular basement membrane antibody positive,Anti-glomerular basement membrane antibody positive,laboratory,Laboratory and investigation,rule
High turnover osteopathy,High turnover osteopathy,other,Other / manual review,fallback
Mesenteric arterial occlusion,Mesenteric arterial occlusion,cardiovascular,Cardiovascular,rule
Respiratory paralysis,Respiratory paralysis,respiratory,Respiratory,rule
Visual evoked potentials abnormal,Visual evoked potentials abnormal,laboratory,Laboratory and investigation,rule
Decreased insulin requirement,Decreased insulin requirement,laboratory,Laboratory and investigation,rule
Carotid artery stent insertion,Carotid artery stent insertion,device,Device and procedure-related,rule
Splint application,Splint application,other,Other / manual review,fallback
Cryptogenic cirrhosis,Cryptogenic cirrhosis,other,Other / manual review,fallback
Product quality control issue,Product quality control issue,product_quality,Product quality and supply,rule
Hypoglobulinaemia,Hypoglobulinaemia,other,Other / manual review,fallback
Apparent mineralocorticoid excess,Apparent mineralocorticoid excess,other,Other / manual review,fallback
Mucosal pigmentation,Mucosal pigmentation,dermatological,Skin and subcutaneous tissue,rule
Palatoplasty,Palatoplasty,other,Other / manual review,fallback
Blood bicarbonate abnormal,Blood bicarbonate abnormal,laboratory,Laboratory and investigation,rule
Postictal psychosis,Postictal psychosis,other,Other / manual review,fallback
Thecal sac compression,Thecal sac compression,other,Other / manual review,fallback
Menstrual disorder,Menstrual disorder,reproductive,Reproductive and breast,rule
Pleural effusion,Pleural effusion,respiratory,Respiratory,rule
Middle insomnia,Middle insomnia,other,Other / manual review,fallback
Nasopharyngitis,Nasopharyngitis,other,Other / manual review,fallback
Sensitive skin,Sensitive skin,dermatological,Skin and subcutaneous tissue,rule
Spinal fracture,Spinal fracture,musculoskeletal,Musculoskeletal,rule
Fibromyalgia,Fibromyalgia,musculoskeletal,Musculoskeletal,rule
Malnutrition,Malnutrition,other,Other / manual review,fallback
Arthropathy,Arthropathy,other,Other / manual review,fallback
Inflammation,Inflammation,other,Other / manual review,fallback
Tinnitus,Tinnitus,other,Other / manual review,fallback
Intentional overdose,Intentional overdose,medication_error,Medication errors and use issues,rule
Transient ischaemic attack,Transient ischaemic attack,other,Other / manual review,fallback
Anhedonia,Anhedonia,other,Other / manual review,fallback
Rectal haemorrhage,Rectal haemorrhage,gastrointestinal,Gastrointestinal,rule
Bronchitis viral,Bronchitis viral,infection,Infections,rule
Metastasis,Metastasis,other,Other / manual review,fallback
Muscle twitching,Muscle twitching,musculoskeletal,Musculoskeletal,rule
Cytomegalovirus infection,Cytomegalovirus infection,infection,Infections,rule
Body temperature decreased,Body temperature decreased,laboratory,Laboratory and investigation,rule
Disturbance in attention,Disturbance in attention,other,Other / manual review,fallback
